Initial Board,Solved Board,Dimension,BoxSizeX,BoxSizeY,Difficulty,TimeGenerate,TimeBT,Solvable (Backtracking),TimeCP,Solvable (Constraint Propogation)
0 0 0 0 0 0 0 0 8 3 0 5 0 0 0 1 0 7 0 6 0 1 2 0 0 0 0 0 1 0 5 0 0 0 0 0 4 3 0 0 0 6 0 0 0 0 0 0 7 9 4 0 0 0 7 2 0 0 6 1 8 5 0 0 0 8 4 0 0 0 0 1 0 9 0 0 0 0 0 6 0 ,2 7 1 3 4 5 6 9 8 3 4 5 6 8 9 1 2 7 8 6 9 1 2 7 3 4 5 9 1 2 5 3 8 4 7 6 4 3 7 2 1 6 5 8 9 5 8 6 7 9 4 2 1 3 7 2 3 9 6 1 8 5 4 6 5 8 4 7 2 9 3 1 1 9 4 8 5 3 7 6 2 ,9x9,3,3,DIFFICULT,67,2,1,2,1
1 2 0 0 0 0 0 0 9 0 0 7 0 0 9 0 0 0 0 8 0 0 1 3 0 0 4 0 0 0 0 4 5 0 0 0 0 0 5 0 0 0 3 0 6 0 0 6 0 0 0 0 0 0 0 0 1 9 0 0 7 0 0 0 7 0 3 8 0 0 2 0 5 0 8 2 0 1 0 4 0 ,1 2 3 4 6 7 5 8 9 4 5 7 8 2 9 6 3 1 6 8 9 5 1 3 2 7 4 3 1 2 6 4 5 8 9 7 8 4 5 7 9 2 3 1 6 7 9 6 1 3 8 4 5 2 2 3 1 9 5 4 7 6 8 9 7 4 3 8 6 1 2 5 5 6 8 2 7 1 9 4 3 ,9x9,3,3,DIFFICULT,79,1,1,3,1
0 0 0 0 0 0 0 0 0 0 0 0 9 0 8 2 0 3 0 0 0 0 3 7 0 1 6 2 0 0 0 0 9 0 0 8 0 7 0 0 0 2 5 9 0 0 0 0 6 7 0 1 0 0 0 5 0 0 0 0 8 0 0 0 0 1 0 0 4 0 0 0 9 4 8 0 2 1 0 0 0 ,1 2 3 4 5 6 7 8 9 4 6 7 9 1 8 2 5 3 5 8 9 2 3 7 4 1 6 2 1 5 3 4 9 6 7 8 3 7 6 1 8 2 5 9 4 8 9 4 6 7 5 1 3 2 6 5 2 7 9 3 8 4 1 7 3 1 8 6 4 9 2 5 9 4 8 5 2 1 3 6 7 ,9x9,3,3,DIFFICULT,73,0,1,2,1
0 3 0 0 0 0 6 7 0 0 4 0 1 0 0 2 0 0 2 9 0 0 0 0 0 0 4 0 0 0 0 4 0 7 9 0 7 0 0 0 0 0 4 0 0 9 2 0 5 6 0 0 1 0 0 0 1 4 0 0 0 8 7 0 0 0 0 0 3 0 0 0 0 0 0 9 5 0 0 0 1 ,1 3 5 2 8 4 6 7 9 6 4 7 1 3 9 2 5 8 2 9 8 6 7 5 1 3 4 5 1 3 8 4 2 7 9 6 7 8 6 3 9 1 4 2 5 9 2 4 5 6 7 8 1 3 3 5 1 4 2 6 9 8 7 8 6 9 7 1 3 5 4 2 4 7 2 9 5 8 3 6 1 ,9x9,3,3,DIFFICULT,79,0,1,2,1
5 1 0 0 7 0 0 0 9 4 0 0 6 0 0 0 3 0 6 9 0 4 0 0 0 7 8 0 0 0 5 0 0 8 0 0 0 0 9 3 0 0 0 0 4 0 8 0 0 0 0 0 0 0 0 0 0 0 0 6 7 0 0 0 0 0 1 0 3 5 0 0 0 0 0 8 5 0 9 0 6 ,5 1 3 2 7 8 4 6 9 4 7 8 6 1 9 2 3 5 6 9 2 4 3 5 1 7 8 1 3 4 5 6 2 8 9 7 7 5 9 3 8 1 6 2 4 2 8 6 7 9 4 3 5 1 8 4 5 9 2 6 7 1 3 9 6 7 1 4 3 5 8 2 3 2 1 8 5 7 9 4 6 ,9x9,3,3,DIFFICULT,61,0,1,2,1
0 0 3 4 1 0 8 0 0 0 0 0 0 3 9 0 5 0 4 0 6 0 0 0 1 0 0 0 0 0 3 8 0 0 0 0 0 0 0 0 2 0 9 0 0 0 0 7 1 9 0 0 3 4 2 0 0 0 0 0 5 9 0 0 0 0 7 4 0 0 8 0 7 0 0 0 0 0 0 0 2 ,5 2 3 4 1 6 8 7 9 1 7 8 2 3 9 4 5 6 4 9 6 5 7 8 1 2 3 9 1 2 3 8 4 7 6 5 3 4 5 6 2 7 9 1 8 8 6 7 1 9 5 2 3 4 2 3 4 8 6 1 5 9 7 6 5 9 7 4 2 3 8 1 7 8 1 9 5 3 6 4 2 ,9x9,3,3,DIFFICULT,76,0,1,3,1
0 0 0 0 6 7 8 1 9 0 0 0 3 4 0 0 0 7 0 9 0 0 5 0 4 0 0 0 0 1 0 8 5 0 9 0 0 0 0 0 0 0 1 0 0 0 7 0 0 0 0 0 0 5 5 0 4 0 9 1 3 0 0 0 0 8 0 0 0 0 0 0 0 2 3 5 0 0 0 0 0 ,3 4 5 2 6 7 8 1 9 1 8 2 3 4 9 5 6 7 6 9 7 1 5 8 4 2 3 2 3 1 4 8 5 7 9 6 4 5 9 7 2 6 1 3 8 8 7 6 9 1 3 2 4 5 5 6 4 8 9 1 3 7 2 7 1 8 6 3 2 9 5 4 9 2 3 5 7 4 6 8 1 ,9x9,3,3,DIFFICULT,64,0,1,2,1
1 0 0 0 0 0 0 0 9 0 0 0 0 0 0 2 0 0 0 6 0 0 0 7 0 1 0 0 3 0 0 7 5 0 0 6 4 0 0 0 0 0 0 0 0 8 9 7 0 2 4 0 0 0 3 7 0 0 0 9 1 8 0 0 0 0 8 4 0 0 2 0 9 0 4 0 0 0 5 0 0 ,1 2 3 4 5 8 6 7 9 7 4 8 1 9 6 2 3 5 5 6 9 2 3 7 4 1 8 2 3 1 9 7 5 8 4 6 4 5 6 3 8 1 7 9 2 8 9 7 6 2 4 3 5 1 3 7 2 5 6 9 1 8 4 6 1 5 8 4 3 9 2 7 9 8 4 7 1 2 5 6 3 ,9x9,3,3,DIFFICULT,69,1,1,2,1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 3 0 6 0 0 9 3 4 0 0 2 0 5 0 0 2 7 0 0 9 0 0 0 3 0 1 8 4 0 0 0 0 0 9 0 0 0 0 0 0 6 8 0 0 1 9 0 2 0 2 1 7 0 0 0 3 8 0 0 0 0 0 3 0 0 0 ,1 3 4 5 6 2 7 8 9 7 5 2 1 8 9 3 4 6 6 8 9 3 4 7 1 2 5 5 1 6 2 7 4 8 9 3 2 9 3 6 1 8 4 5 7 8 4 7 9 3 5 2 6 1 3 6 8 4 5 1 9 7 2 4 2 1 7 9 6 5 3 8 9 7 5 8 2 3 6 1 4 ,9x9,3,3,DIFFICULT,61,4,1,3,1
0 1 0 0 7 0 0 0 2 0 0 0 3 9 4 0 0 0 0 8 9 1 0 0 0 0 0 4 2 3 6 0 0 0 5 0 5 6 0 0 0 0 0 1 4 1 0 0 0 0 0 0 6 0 6 0 0 0 0 0 0 8 0 0 0 0 0 0 2 4 0 1 0 0 0 0 3 9 0 0 0 ,3 1 4 5 7 8 6 9 2 2 5 6 3 9 4 1 7 8 7 8 9 1 2 6 3 4 5 4 2 3 6 1 7 8 5 9 5 6 7 9 8 3 2 1 4 1 9 8 2 4 5 7 6 3 6 3 2 4 5 1 9 8 7 9 7 5 8 6 2 4 3 1 8 4 1 7 3 9 5 2 6 ,9x9,3,3,DIFFICULT,67,0,1,2,1
